id,name,category,image,rating,reviewCount,description,city,neighborhood,location,price,services,contact,businessHours
1,Elite Hair Studio,Hair Salon,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,New York,Manhattan,"123 5th Ave, Manhattan, New York",$$,Women's Haircut; Men's Haircut; Hair Coloring; Highlights; Balayage; Hair Treatment; Styling; Extensions,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
2,Luxe Hair Lounge,Hair Salon,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",Los Angeles,Beverly Hills,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Precision Haircut; Blow Dry & Style; Hair Treatments; Color Services; Bridal Styling; Extensions,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
3,Style & Grace Salon,Hair Salon,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,Chicago,River North,"789 N Michigan Ave, Chicago",$$,Designer Cuts; Creative Color; Keratin Treatments; Special Event Styling; Hair Extensions; Scalp Treatments,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
4,Chic & Shine,Hair Salon,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,San Francisco,Financial District,"321 Ocean Drive, San Francisco",$$,Contemporary Cuts; Fashion Color; Balayage; Brazilian Blowout; Extensions; Styling,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
5,Classic Cuts Barbershop,Barbershop,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,San Francisco,Financial District,"567 Market St, San Francisco",$$,Classic Haircuts; Hot Towel Shaves; Beard Trims; Line Ups; Facial Grooming; Hair Styling,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
6,Modern Center,Spa,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,New York,Brooklyn,"123 5th Ave, Manhattan, New York",$$,Facial Treatments; Massages; Body Scrubs,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
7,Grand Retreat,Beauty Salon,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",London,Chelsea,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Waxing; Makeup Application; Facials,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
8,Trendy Gym,Spa,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,London,Soho,"789 N Michigan Ave, Chicago",$$,Body Scrubs; Facial Treatments; Massages,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
9,Royal Barbers,Barbershop,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,Paris,Montmartre,"321 Ocean Drive, San Francisco",$$,Classic Haircuts; Beard Trimming; Hot Towel Shaves,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
10,Grand Lounge,Beauty Salon,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,New York,Manhattan,"567 Market St, San Francisco",$$,Waxing; Nail Services; Makeup Application,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
11,Premier Haven,Spa,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,London,Chelsea,"123 5th Ave, Manhattan, New York",$$,Facial Treatments; Saunas; Massages,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
12,Trendy Retreat,Barbershop,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",Los Angeles,Hollywood,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Classic Haircuts; Hot Towel Shaves; Beard Trimming,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
13,Royal Lounge,Beauty Salon,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,Berlin,Charlottenburg,"789 N Michigan Ave, Chicago",$$,Facials; Waxing; Makeup Application,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
14,Chic Salon,Hair Salon,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,Dubai,Downtown,"321 Ocean Drive, San Francisco",$$,Men's Haircut; Women's Haircut; Hair Coloring,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
15,Elite Beauty,Barbershop,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,Berlin,Charlottenburg,"567 Market St, San Francisco",$$,Beard Trimming; Hot Towel Shaves; Classic Haircuts,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
